Decade,species,residual mean,lower CI,upper CI
1960,Ringed,0.02,-0.07,0.11
1960,Spotted,-0.01,-0.98,0.97
1960,Ribbon,0.11,-0.24,0.46
1970,Bearded,0.13,-0.07,0.32
1970,Ringed,0.02,-0.09,0.13
1970,Spotted,-0.21,-0.54,0.11
1970,Ribbon,-0.03,-0.25,0.19
1980,Ringed,-0.12,-0.39,0.14
1990,Bearded,-0.17,-0.58,0.24
1990,Spotted,0.41,-0.33,1.14
1990,Ribbon,-0.05,-0.68,0.57
2000,Bearded,0.01,-0.30,0.33
2000,Ringed,0.18,-0.06,0.42
2000,Spotted,0.03,-0.27,0.32
2000,Ribbon,-0.13,-0.55,0.29
2010,Bearded,-0.10,-0.31,0.11
2010,Ringed,-0.10,-0.21,0.02
2010,Spotted,-0.07,-0.22,0.07
2010,Ribbon,0.07,-0.32,0.46
2020,Bearded,0.00,-0.34,0.33
2020,Ringed,0.07,-0.13,0.28
2020,Spotted,0.41,0.10,0.72
